Entity,Code,Year,UIS: Mean years of schooling of the population age 25+. Female
Afghanistan,AFG,1975,0.2
Afghanistan,AFG,1979,0.2
Albania,ALB,2001,8.1
Albania,ALB,2008,8.5
Albania,ALB,2011,8.9
Albania,ALB,2012,9.5
Algeria,DZA,2008,5.7
Andorra,AND,2014,10.2
Argentina,ARG,1970,5.7
Argentina,ARG,2001,8.8
Argentina,ARG,2003,9.9
Armenia,ARM,2001,10.2
Armenia,ARM,2011,11.3
Australia,AUS,2004,11.8
Australia,AUS,2005,12
Australia,AUS,2006,12.2
Australia,AUS,2007,12.3
Australia,AUS,2008,12.6
Australia,AUS,2011,13.1
Australia,AUS,2012,13.3
Azerbaijan,AZE,1999,10
Azerbaijan,AZE,2007,10.2
Azerbaijan,AZE,2008,10.2
Azerbaijan,AZE,2009,10.5
Azerbaijan,AZE,2013,10.3
Azerbaijan,AZE,2014,10.3
Bahamas,BHS,2000,11.1
Bahamas,BHS,2010,12.2
Bahrain,BHR,1971,1.1
Bahrain,BHR,2010,8.8
Bangladesh,BGD,1974,0.4
Bangladesh,BGD,2001,3.6
Barbados,BRB,2000,9.1
Belarus,BLR,2009,11.9
Belgium,BEL,1970,7.1
Belgium,BEL,2006,10.7
Belgium,BEL,2008,10.7
Belgium,BEL,2009,10.9
Belgium,BEL,2010,11
Belgium,BEL,2011,11.1
Belgium,BEL,2012,11.1
Belgium,BEL,2013,11.2
Belgium,BEL,2014,11.2
Belize,BLZ,2010,10.5
Benin,BEN,1979,0.4
Benin,BEN,2002,1.7
Bermuda,BMU,2000,13
Bhutan,BTN,2012,1.6
Bolivia,BOL,2001,6.4
Bolivia,BOL,2006,6.3
Bolivia,BOL,2008,6.6
Bolivia,BOL,2009,6.8
Bolivia,BOL,2012,7.6
Bosnia and Herzegovina,BIH,2010,6.1
Bosnia and Herzegovina,BIH,2011,6.3
Bosnia and Herzegovina,BIH,2014,7.8
Botswana,BWA,1971,1.3
Brazil,BRA,1970,2.2
Brazil,BRA,1980,2.4
Brazil,BRA,2004,6.1
Brazil,BRA,2006,6.4
Brazil,BRA,2007,6.6
Brazil,BRA,2008,6.8
Brazil,BRA,2009,6.9
Brazil,BRA,2011,7.1
Brazil,BRA,2012,7.4
Brazil,BRA,2013,7.5
Bulgaria,BGR,2001,9.8
Burkina Faso,BFA,2006,0.9
Burkina Faso,BFA,2007,0.3
Cambodia,KHM,2007,2.8
Cambodia,KHM,2009,2.8
Cameroon,CMR,2010,3.9
Canada,CAN,1986,9.9
Cayman Islands,CYM,2004,11.8
Cayman Islands,CYM,2005,12.4
Cayman Islands,CYM,2006,12.1
Cayman Islands,CYM,2007,12.4
